member_id,status,sex,age,tranche,tranche_label,tranche_pension
147,pensioner,M,69,pre97,Pre-1997,1859.467604717387
147,pensioner,M,69,9705,1997-2005,1394.6007035380403
147,pensioner,M,69,post05,Post-2005,1394.6007035380403
148,pensioner,M,73,pre97,Pre-1997,14274.431495547391
148,pensioner,M,73,9705,1997-2005,10705.823621660542
148,pensioner,M,73,post05,Post-2005,10705.823621660542
149,pensioner,M,75,pre97,Pre-1997,4214.160581366096
149,pensioner,M,75,9705,1997-2005,3160.6204360245715
149,pensioner,M,75,post05,Post-2005,3160.6204360245715
150,pensioner,M,79,pre97,Pre-1997,27037.787378881232
150,pensioner,M,79,9705,1997-2005,20278.34053416092
150,pensioner,M,79,post05,Post-2005,20278.34053416092
151,pensioner,M,84,pre97,Pre-1997,3072.2010482455357
151,pensioner,M,84,9705,1997-2005,2304.1507861841515
151,pensioner,M,84,post05,Post-2005,2304.1507861841515
152,pensioner,M,71,pre97,Pre-1997,3080.4839897394613
152,pensioner,M,71,9705,1997-2005,2310.362992304596
152,pensioner,M,71,post05,Post-2005,2310.362992304596
153,pensioner,M,78,pre97,Pre-1997,2828.8893894684793
153,pensioner,M,78,9705,1997-2005,2121.667042101359
153,pensioner,M,78,post05,Post-2005,2121.667042101359
154,pensioner,M,68,pre97,Pre-1997,3463.946225586258
154,pensioner,M,68,9705,1997-2005,2597.959669189693
154,pensioner,M,68,post05,Post-2005,2597.959669189693
155,pensioner,M,77,pre97,Pre-1997,16734.76425176617
155,pensioner,M,77,9705,1997-2005,12551.073188824628
155,pensioner,M,77,post05,Post-2005,12551.073188824628
156,pensioner,M,78,pre97,Pre-1997,2092.7676541654882
156,pensioner,M,78,9705,1997-2005,1569.575740624116
156,pensioner,M,78,post05,Post-2005,1569.575740624116
157,pensioner,M,78,pre97,Pre-1997,2010.337743089593
157,pensioner,M,78,9705,1997-2005,1507.7533073171946
157,pensioner,M,78,post05,Post-2005,1507.7533073171946
158,pensioner,M,77,pre97,Pre-1997,29821.426023732973
158,pensioner,M,77,9705,1997-2005,22366.069517799726
158,pensioner,M,77,post05,Post-2005,22366.069517799726
159,pensioner,M,83,pre97,Pre-1997,9301.502320757061
159,pensioner,M,83,9705,1997-2005,6976.1267405677945
159,pensioner,M,83,post05,Post-2005,6976.1267405677945
160,pensioner,F,86,pre97,Pre-1997,8838.176714442754
160,pensioner,F,86,9705,1997-2005,6628.632535832065
160,pensioner,F,86,post05,Post-2005,6628.632535832065
